header,category,location,title,description,website_url,image_name,youtube_url
나의,건강,,탈모치료 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/723980,https://www.jmleetogether.com/uploads/center/center_158_20220115141614_7P.png,https://youtu.be/qk31f3Q9qlM
나의,건강,,운동활동 포인트 지역화폐로,,https://theminjoo.kr/board/view/electionpromises/737055,https://www.jmleetogether.com/uploads/center/center_245_20220130171403_S2.png,
나의,건강,,HPV 백신 청소년 무료접종,,https://theminjoo.kr/board/view/electionpromises/707353,https://www.jmleetogether.com/uploads/center/center_146_20220114171555_86.png,https://youtu.be/mg6Qspaewfo
나의,건강,,공공의료 70+곳,,https://theminjoo.kr/board/view/electionpromises/707351,,
나의,건강,,전국민 주치의 제도,,https://theminjoo.kr/board/view/electionpromises/707351,,
나의,건강,,불법면허 병원·약국 근절,,https://theminjoo.kr/board/view/electionpromises/706008,,
"나,",남성,,병사월급 200만원 ,휴대폰요금 반값,https://theminjoo.kr/board/view/electionpromises/726150,,
"나,",남성,,군경력 호봉인정 의무화,취득학점 1학기 인정<br />취업자격증 수강료 전액지원,https://theminjoo.kr/board/view/electionpromises/733667,,
"나,",남성,,동원예비군 3년,훈련보상비 일 20만원,https://theminjoo.kr/board/view/electionpromises/733667,,
"나,",남성,,모든 국공립 병원 = 보훈대상자 위탁병원,,https://theminjoo.kr/board/view/electionpromises/699803,,
"나,",남성,,선택적 모병제,,https://theminjoo.kr/board/view/electionpromises/706920,https://www.jmleetogether.com/uploads/center/center_44_20211224190944_CV.jpg,
나의,노후,,어르신 임플란트 65세부터 4개,60세부터 2개,https://theminjoo.kr/board/view/electionpromises/728456,./img/cards/728456.jpg,https://youtu.be/eH5AkZdw8Ts
나의,노후,,노인 1인가구 연대관계인 지정,,https://www.jmleetogether.com/web/center_view.php?code=162,,
나의,노후,,평생교육 지원,평생학습계좌제<br />평생학습시민대학 플랫폼,https://theminjoo.kr/board/view/electionpromises/721282,,
나의,노후,,일하는 노인 연금감액 제도개선,,https://theminjoo.kr/board/view/electionpromises/715127,,
나와,농수산,,농어촌 기본소득 100만원,,https://theminjoo.kr/board/view/electionpromises/733918,,https://youtu.be/v3m-ptryfWs
나와,농수산,,이장·통장 수당 인상,,https://theminjoo.kr/board/view/electionpromises/733918,,
나와,농수산,,농촌재생뉴딜 300,,https://theminjoo.kr/board/view/electionpromises/733918,,
나와,농수산,,식량자급 60% 목표,,https://theminjoo.kr/board/view/electionpromises/733918,,
나와,농수산,,주요채소 최저가 보장,,https://theminjoo.kr/board/view/electionpromises/733918,,
나와,농수산,,수산물 방사능피해 대비,,https://theminjoo.kr/board/view/electionpromises/725319,,https://youtu.be/hvpCqVqNzoY
나의,반려동물,,반려동물 진료비 표준수가제,,https://theminjoo.kr/board/view/electionpromises/699804,,https://youtu.be/oxXQmcHv8SQ
나의,반려동물,,영리적 입양중개·파양 금지,,https://theminjoo.kr/board/view/electionpromises/706157,,
나의,반려동물,,보호소 사칭 신종펫샵 근절,,https://theminjoo.kr/board/view/electionpromises/706157,,
나의,반려동물,,개식용·동물학대범죄 금지,,https://theminjoo.kr/board/view/electionpromises/706157,,
나의,부동산,,311만호 공급,"건물분양형, 지분적립형, 누구나집, 이익공유형",https://theminjoo.kr/board/view/electionpromises/731640,./img/cards/716522.jpg,https://youtu.be/xU7AobWhL68
나의,부동산,,분양가 상한제 + 반값아파트,,https://theminjoo.kr/board/view/electionpromises/731640,./img/cards/716522.jpg,
나의,부동산,,생애최초 주택구입 LTV 90%까지,,https://theminjoo.kr/board/view/electionpromises/731640,./img/cards/716522.jpg,
나의,부동산,,전세사기 근절,,https://theminjoo.kr/board/view/electionpromises/716522,https://www.jmleetogether.com/uploads/center/center_150_20220114171925_27.png,
나의,부동산,,재개발재건축 신속협의제 & 통합심의적용,"500% 용적률 상향가능 4종주거지역 신설<br />재건축 안전기준 개선, 원주민 재정착 지원비용 공공기여에 포함",https://theminjoo.kr/board/view/electionpromises/723587,https://www.jmleetogether.com/uploads/center/center_85_20220113182031_TZ.png,
나의,부동산,,노후공동주택 수직증축 등 리모델링 지원,,https://theminjoo.kr/board/view/electionpromises/723584,https://www.jmleetogether.com/uploads/center/center_85_20220113182031_TZ.png,
나와,산업,,디지털대전환 135조원 투입,,https://theminjoo.kr/board/view/electionpromises/722716,,
나와,산업,,300만 일자리 창출,디지털일자리 100만<br />사회서비스 일자리 100만,https://theminjoo.kr/board/view/electionpromises/726972,,https://youtu.be/iwXGEUGYeag
나와,산업,,임기내 수출 1조 달러,,https://theminjoo.kr/board/view/electionpromises/722723,,
나와,산업,,K-비전펀드 50조원 조성,벤처투자 10조원,https://theminjoo.kr/board/view/electionpromises/726972,,
나와,산업,,"혁신기업 3천개, 유니콘 100개",,https://theminjoo.kr/board/view/electionpromises/705817,,
나와,산업,,스타트업 특허심사 3개월로 단축,특허심사 인력 확대 양성,https://theminjoo.kr/board/view/electionpromises/728457,https://www.jmleetogether.com/uploads/center/center_167_20220120172203_BT.png,
나의,생활편의,,전국 대중교통에 무료 5G,,https://theminjoo.kr/board/view/electionpromises/736644,https://www.jmleetogether.com/uploads/center/center_244_20220129173443_JX.png,
나의,생활편의,,공공서비스·메신저 사용은 데이터 무료,,https://theminjoo.kr/board/view/electionpromises/699797,https://www.jmleetogether.com/uploads/center/center_103_20220114162756_6B.jpg,https://youtu.be/uu7gwyn1NpU
나의,생활편의,,유전자변형식품 완전 표시,,https://theminjoo.kr/board/view/electionpromises/705661,https://www.jmleetogether.com/uploads/center/center_121_20220114164617_24.jpg,https://youtu.be/x1nkO_2UA5Y
나의,생활편의,,전기차 보조금 대폭 확대,,https://theminjoo.kr/board/view/electionpromises/699821,https://www.jmleetogether.com/uploads/center/center_113_20220114163810_2C.jpg,
나의,생활편의,,확률형 게임아이템 정보공개,,https://theminjoo.kr/board/view/electionpromises/706108,https://www.jmleetogether.com/uploads/center/center_125_20220114165222_N9.jpg,
나의,생활편의,,대중골프장 회원제식 운영 근절,,https://theminjoo.kr/board/view/electionpromises/719407,./img/cards/719407.jpg,
나의,생활편의,,배달특급 전국확대,,https://theminjoo.kr/board/view/electionpromises/705068,https://www.jmleetogether.com/uploads/center/center_115_20220114164059_6N.png,
나의,세금,,월세 세액공제율 최대 17%,"최대 5년 뒤까지 이월가능, 공제 대상 주택가격 기준 5억까지 상향",https://theminjoo.kr/board/view/electionpromises/721526,,
나의,세금,,취득세 기준 완화,생애최초 주택구입 취득세 3억 이하 면제<br />주택 취득세 최고세율 부과기준 12억으로 상향,https://theminjoo.kr/board/view/electionpromises/721502,,
나의,세금,,종부세 기준 합리화,일시적 2주택자 1주택자 간주<br />상속지분정리 필요 기간 중 1주택자 간주<br />투기목적 아닌 주택 종부세 중과 제외<br />주택 장기보유 저소득층 및 노인가구 종부세 납부연기,https://theminjoo.kr/board/view/electionpromises/721495,,
나의,세금,,공시가격 관련 제도 전면재검토,"재산세, 건강보험료, 복지수급 기준",https://theminjoo.kr/board/view/electionpromises/721492,,
나의,안전,,보이스피싱 강력단속 및 처벌,,https://theminjoo.kr/board/view/electionpromises/705309,https://www.jmleetogether.com/uploads/center/center_118_20220114164349_ZY.jpg,https://youtu.be/sjqw8JLDpZY
나의,안전,,디지털 성범죄 기구 전국확대,데이트폭력 처벌법 제정,https://theminjoo.kr/board/view/electionpromises/699819,,
나의,안전,,변형카메라 유통이력 관리,불법촬영 단속 인프라 구축,https://theminjoo.kr/board/view/electionpromises/699819,https://www.jmleetogether.com/uploads/center/center_112_20220114163712_RR.jpg,https://youtu.be/C1pq0QeTlaU
나의,안전,,촉법소년 상한 하향,,https://theminjoo.kr/board/view/electionpromises/735948,https://www.jmleetogether.com/uploads/center/center_241_20220127185619_PR.png,
나의,안전,,디지털금융범죄 모니터링 상시화,,https://theminjoo.kr/board/view/electionpromises/705069,https://www.jmleetogether.com/uploads/center/center_116_20220114164155_4J.jpg,
나의,안전,,딥페이크 범죄 강력대처,,https://theminjoo.kr/board/view/electionpromises/705618,https://www.jmleetogether.com/uploads/center/center_120_20220114164530_N5.jpg,https://youtu.be/NXQT_aEpnO0
나의,안전,,"아동학대, 영아살해 강력처벌",,https://theminjoo.kr/board/view/electionpromises/699806,https://www.jmleetogether.com/uploads/center/center_108_20220114163341_ND.jpg,https://youtu.be/_BXMwEnhhwU
"나,",여성,,산부인과 -> 여성건강의학과,,https://theminjoo.kr/board/view/electionpromises/699811,https://www.jmleetogether.com/uploads/center/center_111_20220114163623_6W.jpg,https://youtu.be/_Qde8-m8z00
"나,",여성,,현대적 피임시술 건강보험 확대,,https://theminjoo.kr/board/view/electionpromises/707043,https://www.jmleetogether.com/uploads/center/center_141_20220114170937_MZ.png,https://youtu.be/I96aKObwObA
"나,",여성,,임신중지 의료행위 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/707043,https://www.jmleetogether.com/uploads/center/center_141_20220114170937_MZ.png,https://youtu.be/I96aKObwObA
"나,",여성,,난임 절차 간소화 및 보험급여 확대,,https://theminjoo.kr/board/view/electionpromises/706851,https://www.jmleetogether.com/uploads/center/center_141_20220114170937_MZ.png,
"나,",여성,,공공산후조리원 확대,,https://theminjoo.kr/board/view/electionpromises/707250,./img/cards/707250.jpg,
나의,육아,,초등학생 3시 동시 하교,7시까지 방과후돌봄 연장<br />긴급돌봄센터구축,https://theminjoo.kr/board/view/electionpromises/699809,https://www.jmleetogether.com/uploads/center/center_110_20220114163531_JT.png,
나의,육아,,교통봉사 학부모 -> 국가,,https://theminjoo.kr/board/view/electionpromises/705713,https://www.jmleetogether.com/uploads/center/center_122_20220114164710_GA.jpg,
나의,육아,,학생 1인 1디지털 학습기기 지급,,https://theminjoo.kr/board/view/electionpromises/721282,,
나의,육아,,아동급식지원단가 인상,,https://theminjoo.kr/board/view/electionpromises/706052,https://www.jmleetogether.com/uploads/center/center_124_20220114165134_SW.jpg,
나의,육아,,육아휴직 부모쿼터제 & 자동신청,,https://theminjoo.kr/board/view/electionpromises/734542,,
나의,육아,,발달지연 영유아 조기발견,,https://theminjoo.kr/board/view/electionpromises/709673,https://www.jmleetogether.com/uploads/center/center_147_20220114171646_4E.png,
나의,육아,,한부모가족증명 발급 소득요건 폐지,,https://theminjoo.kr/board/view/electionpromises/734542,,
나와,정의,,미성년상속인의 빚대물림 방지,,https://theminjoo.kr/board/view/electionpromises/721279,https://www.jmleetogether.com/uploads/center/center_154_20220114172228_Y8.png,
나와,정의,,코로나 폐업 소상공인 재기지원,,https://theminjoo.kr/board/view/electionpromises/706626,,
나와,정의,,플랫폼수수료 투명공개,,https://theminjoo.kr/board/view/electionpromises/700979,,https://youtu.be/xw0LSAsJ3kc
나와,정의,,고용평등임금공시제 도입,,https://theminjoo.kr/board/view/electionpromises/734542,,
나와,정의,,단가 후려치기 근절,,https://theminjoo.kr/board/view/electionpromises/706626,,
나와,정의,,판매업주 독박방지법,,https://theminjoo.kr/board/view/electionpromises/735948,https://www.jmleetogether.com/uploads/center/center_241_20220127185619_PR.png,
나와,정의,,유니버설디자인 법제화,,https://theminjoo.kr/board/view/electionpromises/705452,https://www.jmleetogether.com/uploads/center/center_119_20220114164441_F7.jpg,
나와,정의,,타투 합법화,,https://theminjoo.kr/board/view/electionpromises/722066,https://www.jmleetogether.com/uploads/center/center_155_20220114173101_QR.png,https://youtu.be/rupq4E6nRW0
나와,지역균형,,SRT-KTX 통합,,https://theminjoo.kr/board/view/electionpromises/734482,./img/cards/734482.jpg,https://youtu.be/-6r5Alj_a4g
나와,지역균형,,"천 원 여객선 (섬주민, 귀향객)",,https://theminjoo.kr/board/view/electionpromises/736005,https://www.jmleetogether.com/uploads/center/center_242_20220129165123_UM.png,
"나,",청년,,연 100만원 청년기본소득 지급,,https://theminjoo.kr/board/view/electionpromises/730286,,
"나,",청년,,1000만원 기본대출 ,,https://theminjoo.kr/board/view/electionpromises/730286,,
"나,",청년,,신규주택 공급물량의 30% 청년 우선배정,,https://theminjoo.kr/board/view/electionpromises/730286,,
"나,",청년,,마음건강 바우처 지원확대,,https://theminjoo.kr/board/view/electionpromises/730286,,
