header,category,location,title,description,website_url,image_name,youtube_url
나의,건강,,탈모치료 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/723980,./img/cards_webp/interest_webp/center_158_20220115141614_7P.webp,https://youtu.be/qk31f3Q9qlM
나의,건강,,운동활동 포인트 지역화폐로,,https://theminjoo.kr/board/view/electionpromises/737055,./img/cards_webp/interest_webp/center_245_20220130171403_S2.webp,
나의,건강,,HPV 백신 청소년 무료접종,,https://theminjoo.kr/board/view/electionpromises/707353,./img/cards_webp/interest_webp/center_146_20220114171555_86.webp,https://youtu.be/mg6Qspaewfo
나의,건강,,공공의료 70+곳,,https://theminjoo.kr/board/view/electionpromises/707351,,https://youtu.be/gF90TAzGgjk
나의,건강,,전국민 주치의 제도,,https://theminjoo.kr/board/view/electionpromises/707351,,https://youtu.be/gF90TAzGgjk
나의,건강,,불법면허 병원·약국 근절,,https://theminjoo.kr/board/view/electionpromises/706008,./img/cards_webp/interest_webp/center_123_20220114164800_ZC.webp,https://youtu.be/5A-d5tWBrEk
나의,건강,,지역가입자 건강보험료 부담 완화,소득중심의 건강보험,https://theminjoo.kr/board/view/electionpromises/746334,./img/cards_webp/interest_webp/center_451_20220213193755_65.webp,
나의,건강,,"간호사 대체복무 도입, 의료취약지 투입",,https://theminjoo.kr/board/view/electionpromises/743143,./img/cards_webp/interest_webp/center_325_20220209115256_MR.webp,
나의,건강,,학생 건강검진 2년에 1회,,,./img/cards_webp/interest_webp/center_429_20220211142301_7R.webp,
나의,건강,,고가의 중증 아토피 치료제 건강보험 적용,,https://theminjoo.kr/board/view/electionpromises/745553,./img/cards_webp/interest_webp/center_433_20220212151007_4U.webp,
나의,건강,,암 치료 경험자 일상회복 지원,,https://theminjoo.kr/board/view/electionpromises/751739,./img/cards_webp/interest_webp/field_10_20220224152008_5A.webp,
"나,",남성,,병사월급 200만원 ,휴대폰요금 반값,https://theminjoo.kr/board/view/electionpromises/726150,./img/cards_webp/interest_webp/center_160_20220117172356_2Y.webp,https://youtu.be/8JzYVp1IYV4
"나,",남성,,군경력 호봉인정 의무화,취득학점 1학기 인정<br />취업자격증 수강료 전액지원,https://theminjoo.kr/board/view/electionpromises/733667,./img/cards_webp/interest_webp/center_215_20220125164724_SL.webp,
"나,",남성,,동원예비군 3년,훈련보상비 일 20만원,https://theminjoo.kr/board/view/electionpromises/733667,./img/cards_webp/interest_webp/center_215_20220125164724_SL.webp,
"나,",남성,,모든 국공립 병원 = 보훈대상자 위탁병원,,https://theminjoo.kr/board/view/electionpromises/699803,./img/cards_webp/interest_webp/center_106_20220114163134_RE.webp,https://youtu.be/yy-uftpoWoM
"나,",남성,,선택적 모병제,,https://theminjoo.kr/board/view/electionpromises/706920,./img/cards_webp/interest_webp/center_44_20211224190944_CV.webp,https://youtu.be/aDhbExw0Qkc
나의,노후,,어르신 임플란트 65세부터 4개,60세부터 2개,https://theminjoo.kr/board/view/electionpromises/728456,./img/cards_webp/custom_webp/728456.webp,https://youtu.be/r9GLSimuZ7o
나의,노후,,기초연금 월 40만원,현재 소득 하위 70%에서 대상을 점진적으로 확대<br />부부 동시 수급에 따른 감액규정 폐지,,./img/cards_webp/interest_webp/center_163_20220119161809_VF.webp,https://youtu.be/9BNc-EQdupA
나의,노후,,국민연금 인정기간 확대,"군 복무, 출산 국민연금 크레딧 상향",https://theminjoo.kr/board/view/electionpromises/747331,./img/cards_webp/interest_webp/center_485_20220215114727_RY.webp,
나의,노후,,노인 1인가구 연대관계인 지정,,,./img/cards_webp/interest_webp/center_163_20220119161809_VF.webp,https://youtu.be/7JDFkG0vG5g
나의,노후,,평생교육 지원,평생학습계좌제<br />평생학습시민대학 플랫폼,https://theminjoo.kr/board/view/electionpromises/721282,,
나의,노후,,일하는 노인 연금감액 제도개선,,https://theminjoo.kr/board/view/electionpromises/715127,./img/cards_webp/interest_webp/center_149_20220114171833_93.webp,https://youtu.be/A10OW358ywQ
나의,노후,,운전면허 반납시 지역화폐 지급,,https://theminjoo.kr/board/view/electionpromises/739697,./img/cards_webp/interest_webp/center_250_20220202190911_ZK.webp,
나와,농수산,,농어촌 기본소득 100만원,,https://theminjoo.kr/board/view/electionpromises/733918,./img/cards_webp/interest_webp/center_214_20220125144628_WE.webp,https://youtu.be/QarmJepIKDE
나와,농수산,,이장·통장 수당 인상,,https://theminjoo.kr/board/view/electionpromises/733918,./img/cards_webp/interest_webp/center_214_20220125144628_WE.webp,
