header,category,location,title,description,website_url,image_url,youtube_url
나의,서울,서울특별시,,서울을 서울답게,https://github.com/p4u-jm/jm-2022-pledges/blob/main/theminjoo_board/729549/729549.md,./img/cards_webp/region_webp/center_431_20220211192341_NE.webp,https://youtu.be/AuxjclNL4f8
나의,서울,강남,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_001/005_001_001.md,./img/cards_webp/region_webp/center_253_20220204193221_K9.webp,https://youtu.be/mSlEKoLFn00
나의,서울,강동,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_002/005_001_002.md,./img/cards_webp/region_webp/center_275_20220204195415_Z4.webp,https://youtu.be/kKQFdAhlZMI
나의,서울,강북,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_003/005_001_003.md,./img/cards_webp/region_webp/center_254_20220204193340_8N.webp,https://youtu.be/Xpgou3tJtJI
나의,서울,강서,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_004/005_001_004.md,./img/cards_webp/region_webp/center_264_20220204194354_U4.webp,https://youtu.be/pKDnqxHQjm0
나의,서울,관악,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_005/005_001_005.md,./img/cards_webp/region_webp/center_255_20220204193454_LJ.webp,https://youtu.be/uUoTEUorOnw
나의,서울,광진,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_006/005_001_006.md,./img/cards_webp/region_webp/center_256_20220204193603_H6.webp,https://youtu.be/BjxS3IkiO0E
나의,서울,구로,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_007/005_001_007.md,./img/cards_webp/region_webp/center_257_20220204193716_W7.webp,https://youtu.be/GWRAPRm6dgI
나의,서울,금천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_008/005_001_008.md,./img/cards_webp/region_webp/center_258_20220204193817_82.webp,https://youtu.be/SrTuJLdJRaU
나의,서울,노원,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_009/005_001_009.md,./img/cards_webp/region_webp/center_279_20220204195842_XM.webp,https://youtu.be/6UOspegSpFE
나의,서울,도봉,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_010/005_001_010.md,./img/cards_webp/region_webp/center_259_20220204193910_3V.webp,https://youtu.be/zWkRY458ssI
나의,서울,동대문,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_011/005_001_011.md,./img/cards_webp/custom_webp/20220223_seoul_002.webp,https://youtu.be/CWvn0huL1bE
나의,서울,동작,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_012/005_001_012.md,./img/cards_webp/region_webp/center_277_20220204195612_PA.webp,https://youtu.be/K-nyuXGvo5A
나의,서울,마포,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_013/005_001_013.md,./img/cards_webp/region_webp/center_265_20220204194454_MU.webp,https://youtu.be/ZwK9DPA6L-E
나의,서울,서대문,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_014/005_001_014.md,./img/cards_webp/region_webp/center_260_20220204194002_64.webp,https://youtu.be/oHuXGVwppEk
나의,서울,서초,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_015/005_001_015.md,./img/cards_webp/region_webp/center_261_20220204194058_C2.webp,https://youtu.be/eLSvOwCUo-Q
나의,서울,성동,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_016/005_001_016.md,./img/cards_webp/region_webp/center_262_20220204194204_K4.webp,https://youtu.be/DIWYhxb7jQ4
나의,서울,성북,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_001/005_001_017/005_001_017.md,./img/cards_webp/custom_webp/20220223_seoul_001.webp,https://youtu.be/DBqNoJoL5Hs
